id,url,aspect,date,elevation,lat,lng,observerName,has_photo,has_video,snow_profile,primaryAvalancheProblem,avalancheProblem,region,roles,redFlags
40148,https://utahavalanchecenter.org/observation/40148,North,20181116,10000,0,0,"Greg Gagne and Erme Catino",0,1,1,,Array,"Catherine's Pass","UAC Staff",Array
40123,https://utahavalanchecenter.org/observation/40123,,20181114,Unknown,40.577710416542,-111.59783362063,Hardesty,0,1,0,,Array,"Alta Periphery","UAC Staff",Array
40103,https://utahavalanchecenter.org/observation/40103,,20181112,Unknown,40.577374092142,-111.59443257961,"Mark Staples and Mark White",1,0,0,,Array,"Sunset Peak","UAC Staff",Array
40098,https://utahavalanchecenter.org/observation/40098,,20181112,Unknown,0,0,"Greg Gagne & Mark Johnston",0,1,0,,Array,"Alta Ski Area","UAC Staff",Array
40087,https://utahavalanchecenter.org/observation/40087,,20181111,Unknown,40.755579642156,-116.84509275991,Evelyn,1,0,0,,Array,"Salt Lake","UAC Staff",Array
40066,https://utahavalanchecenter.org/observation/40066,,20181109,Unknown,0,0,"Greg Gagne",1,0,0,,Array,"Alta Ski Area","UAC Staff",Array
40021,https://utahavalanchecenter.org/observation/40021,,20181105,Unknown,0,0,"Greg Gagne",1,1,0,,Array,"Brighton Perimeter","UAC Staff",Array
40011,https://utahavalanchecenter.org/observation/40011,,20181104,Unknown,0,0,"Hardesty and Wilson",1,0,0,,Array,"Alta Ski Area","UAC Staff",Array
39930,https://utahavalanchecenter.org/observation/39930,,20181011,Unknown,0,0,Hardesty,1,0,0,,Array,"Alta Ski Area","UAC Staff",Array
39732,https://utahavalanchecenter.org/observation/39732,,20180501,Unknown,0,0,"Greg Gagne",1,0,0,,Array,"Wolverine Peak","UAC Staff",Array
39711,https://utahavalanchecenter.org/observation/39711,,20180429,Unknown,0,0,"Hardesty, Steenburgh, Wilson, Patterson",0,0,0,,Array,"Lake Peak","UAC Staff",Array
39648,https://utahavalanchecenter.org/observation/39648,,20180421,Unknown,0,0,"Brock Davis /Colin Johnson",1,0,0,,Array,"Grizzly Gulch","UAC Staff",Array
39538,https://utahavalanchecenter.org/observation/39538,,20180414,Unknown,0,0,"Trent Meisenheimer, Bruce Meisenheimer, Mark Staples",1,0,0,"Wet Snow",Array,Hogum,"UAC Staff",Array
39517,https://utahavalanchecenter.org/observation/39517,,20180413,Unknown,0,0,"Drew Hardesty and Mark Staples",1,1,0,,Array,"Catherine's Pass","UAC Staff",Array
39477,https://utahavalanchecenter.org/observation/39477,,20180412,Unknown,0,0,Gagne/Pease/Frey,1,1,0,"Wind Drifted Snow",Array,"Cardiff Fork","UAC Staff",Array
39432,https://utahavalanchecenter.org/observation/39432,,20180410,Unknown,0,0,"Hardesty, Wilson",1,0,0,,Array,"Cardiff Peak","UAC Staff",Array
39355,https://utahavalanchecenter.org/observation/39355,,20180408,Unknown,0,0,"Lees, Gagne, Wyatt",1,0,0,"New Snow",Array,"Little Cottonwood Canyon","UAC Staff",Array
39329,https://utahavalanchecenter.org/observation/39329,Northeast,20180407,9700,0,0,"Hardesty, Wilson",1,1,1,"Wet Snow",Array,"Patsy Trees","UAC Staff",Array
39327,https://utahavalanchecenter.org/observation/39327,Northwest,20180407,8800,0,0,Evelyn,1,0,1,"Wet Snow",Array,"Little Cottonwood Canyon","UAC Staff",Array
39254,https://utahavalanchecenter.org/observation/39254,,20180405,Unknown,40.551022030404,-111.67851446781,"Greg Gagne and Mark Staples",1,1,0,,Array,"White Pine","UAC Staff",Array
39203,https://utahavalanchecenter.org/observation/39203,,20180403,Unknown,40.577083992567,-111.59362791692,"Mark Staples",1,0,0,"Wind Drifted Snow",Array,"Alta Periphery","UAC Staff",Array
39041,https://utahavalanchecenter.org/observation/39041,,20180330,Unknown,0,0,Evelyn,1,0,0,"Normal Caution",Array,Wolverine,"UAC Staff",Array
39004,https://utahavalanchecenter.org/observation/39004,,20180329,Unknown,0,0,"Greg Gagne / Bob Frey",1,0,0,,Array,"White Pine","UAC Staff",Array
38970,https://utahavalanchecenter.org/observation/38970,,20180328,Unknown,0,0,"Mark Staples",1,1,0,,Array,"White Pine","UAC Staff",Array
38887,https://utahavalanchecenter.org/observation/38887,Northwest,20180326,9900,40.596272503812,-111.65582224614,"Hardesty, Slack",1,0,1,,Array,"Cardiac Ridge","UAC Staff",Array
38850,https://utahavalanchecenter.org/observation/38850,,20180325,Unknown,0,0,"Greg Gagne and Mark Johnston",1,1,0,,Array,Cardiff/Mineral,"UAC Staff",Array
38790,https://utahavalanchecenter.org/observation/38790,Northwest,20180324,9400,40.631677386782,-111.5816330782,Evelyn,1,0,1,"Persistent Weak Layer",Array,Willows,"UAC Staff",Array
38730,https://utahavalanchecenter.org/observation/38730,,20180323,Unknown,0,0,Brackelsberg,1,0,0,"Wet Snow",Array,"Chicken Sh#! Ridge","UAC Staff",Array
38695,https://utahavalanchecenter.org/observation/38695,,20180322,Unknown,0,0,"Greg Gagne",1,1,0,"Wet Snow",Array,10420,"UAC Staff",Array
38621,https://utahavalanchecenter.org/observation/38621,,20180320,Unknown,0,0,"Greg Gagne",1,0,0,"Persistent Weak Layer",Array,"Silver Fork","UAC Staff",Array
38520,https://utahavalanchecenter.org/observation/38520,Southeast,20180318,9400,0,0,"Hardesty, Wilson",0,0,1,,Array,"Cottonwood Ridgeline","UAC Staff",Array
38502,https://utahavalanchecenter.org/observation/38502,,20180318,Unknown,0,0,"Greg Gagne",1,1,0,"New Snow",Array,"East Mineral","UAC Staff",Array
38465,https://utahavalanchecenter.org/observation/38465,,20180317,Unknown,0,0,"Greg Gagne",0,0,0,"New Snow",Array,"Maybird Gulch","UAC Staff",Array
38417,https://utahavalanchecenter.org/observation/38417,West,20180316,8000,0,0,"Hardesty, Wilson",0,0,1,,Array,"Mill B South","UAC Staff",Array
38364,https://utahavalanchecenter.org/observation/38364,,20180315,Unknown,0,0,"Craig Gordon",0,0,0,"Persistent Weak Layer",Array,"Brighton Perimeter","UAC Staff",Array
38311,https://utahavalanchecenter.org/observation/38311,Northeast,20180314,8900,0,0,Evelyn,0,0,1,"Persistent Weak Layer",Array,"Guardsman Pass area","UAC Staff",Array
38059,https://utahavalanchecenter.org/observation/38059,,20180308,Unknown,0,0,Gagne/Frey,1,0,0,"Persistent Weak Layer",Array,"Mill Creek Canyon","UAC Staff",Array
38054,https://utahavalanchecenter.org/observation/38054,West,20180308,9600,0,0,Evelyn,1,0,1,,Array,"Red Pine","UAC Staff",Array
37956,https://utahavalanchecenter.org/observation/37956,,20180306,Unknown,0,0,Gagne/Reich,1,0,0,"Persistent Weak Layer",Array,"Mineral Fork","UAC Staff",Array
37943,https://utahavalanchecenter.org/observation/37943,,20180306,Unknown,0,0,Hardesty,1,1,0,,Array,"Butler Basin","UAC Staff",Array
37860,https://utahavalanchecenter.org/observation/37860,,20180304,Unknown,0,0,Gagne/Johnston/Flaherty/Reich,1,0,0,"Wind Drifted Snow",Array,"Yellow Jacket","UAC Staff",Array
37728,https://utahavalanchecenter.org/observation/37728,,20180301,Unknown,40.547743935233,-111.67275174176,Trenbeath,0,0,0,"Wind Drifted Snow",Array,"White Pine","UAC Staff",Array
37727,https://utahavalanchecenter.org/observation/37727,,20180301,Unknown,0,0,"Greg Gagne",1,0,0,"Wind Drifted Snow",Array,"Little Cottonwood Canyon","UAC Staff",Array
37618,https://utahavalanchecenter.org/observation/37618,Northeast,20180227,8200,40.926339446496,-111.78906439456,"Mark Staples and Michael Davis",1,1,1,"Persistent Weak Layer",Array,"Grandview Peak","UAC Staff",Array
